PRODID,PRODNAME,PRICE,MATERIAL,COLOR,BRAND,OFFER,CATEGORY,TYPE,PACKCONT,CAREINST,NETQTY,DARTS,MANUFACTURED,MARKETEDBY,ORIGIN
Amwallets0015BlacK,Men Textured Bi-Fold Wallet,499,Leather,Black,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Ascarf0001GreeN,Women Printed Tassel-Detailed Scarf,399,Viscose,Green,MAX,8,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0002BlacK,Women Floral Embroidered Scarf with Tassels,599,Viscose,Black,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0003BluE,Women Printed Scarf,399,Viscose,Blue,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0004BlacK,Women Printed Scarf,499,Viscose,Black,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0005WhitE,Women Embroidered Scarf,499,Viscose,White,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0006GreeN,Women Abstract Printed Scarf,159,Viscose,Green,MAX,15,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0007ReD,Women Printed Scarf,259,Viscose,Red,MAX,15,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0008GreeN,Women Printed Scarf,249,Viscose,Green,MAX,15,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0009PinK,Women Printed Scarf,249,Viscose,Pink,MAX,15,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0010YelloW,Women Printed Scarf,399,Polyester,Yellow,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0011GreeN,Women Striped Scarf,299,Polyester,Green,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0012MultiColoR,Women Geometric Printed Scarf,499,Polyester,Multicolor,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0013GreY,Women Geometric Print Scarf,499,Polyester,Grey,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0014BrowN,Women Printed Scarf,499,Polyester,Brown,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Ascarf0015PurplE,Women Printed Scarf,499,Polyester,Purple,MAX,10,Accessories,Scarves & Stoles,1 Scarf,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Atie0001ReD,Men Printed Tie,299,Polyester,Red,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0002ReD,Men Printed Tie,299,Polyester,Red,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0003BlacK,Men Printed Tie,315,Polyester,Black,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0004BlacK,Men Printed Tie,299,Satin,Black,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0005BlacK,Men Printed Tie,299,Polyester,Black,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0006BluE,Men Printed Tie,299,Polyester,Blue,MAX,12,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0007BluE,Men Printed Tie,299,Satin,Blue,MAX,12,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0008BlacK,Men Printed Tie,299,Polyester,Black,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0009bLUe,Men Printed Tie,299,Polyester,Blue,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0010WhitE,Men Embroidered Tie,299,Polyester,White,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0011BluE,Men Checked Tie,299,Satin,Blue,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0012BluE,LOUIS PHILIPPE Textured Regular Tie,399,Silk,Blue,Louis Phillipe,10,Accessories,Tie,1 tie,Machine Wash,1,Nil,"Aditya Birla Fashion and Retai 324,Marasur Village,Retail Ltd),Anekal Main Road, Anekal Taluk 562106 Bangalore Karnataka","Aditya Birla Fashion and Retai 324,Marasur Village,Retail Ltd),Anekal Main Road, Anekal Taluk 562106 Bangalore Karnataka",India
Atie0013Black,Men Dotted Pattern tie,299,Satin,Black,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0014Purple,Men Embroidered tie,299,Satin,Purple,Satya Plus,10,Accessories,Tie,1 tie,Machine Wash,1,,"Satya Plus, 7 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Atie0015BrowN,Men Striped tie,299,Satin,Brown,MAX,10,Accessories,Tie,1 tie,Machine Wash,1,,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Manager Commercial,77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur PO., Bangalore-560037",India
Fkids0001MultiColoR,Girls Embellished Slip-On Ballerinas,599,Polyurethane,Multicolor,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0002GreY,Girls Textured Mid-Strap Slip-On Ballerinas,799,Polyurethane,Grey,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0003BrowN,Girls Colour-Blocked Open-Toe Sandals,599,Polyurethane,Brown,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0004PinK,Girls Printed Velcro Strap Floaters,699,Eva,Pink,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0005BluE,Lace-Up Canvas Shoes,699,Canvas,Blue,MAX,15,Footwears,Kids,1 pair of shoes,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0006BluE,Girls Printed Velcro Strap Casual Shoes,699,Polyurethane,Blue,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0007BluE,Girls Solid Bow-Detail Ballerinas,599,Polyurethane,Blue,MAX,15,Footwears,Kids,1 pair of shoes,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0008GreeN,Boys Textured Casual Shoes,699,Canvas,Green,MAX,15,Footwears,Kids,1 pair of sandals,Do not Wash or Bleach. Clean with Soft damp Cloth,2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0009GreY,Boys Colourblocked Sports Shoes,699,Polyurethane,Grey,MAX,15,Footwears,Kids,1 pair of shoes,Do not Wash or Bleach. Clean with Soft damp Cloth,2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0010GreY,Boys Colourblock Booties with Velcro Strap,699,Canvas,Grey,MAX,15,Footwears,Kids,1 pair of sandals,Hand Wash Only,2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0011ReD,Boys Embellished Sling-Back Closure Sandals,499,EVA,Red,MAX,15,Footwears,Kids,1 pair of shoes,Do not Wash or Bleach. Clean with Soft damp Cloth,2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0012BlacK,Boys Textured Strappy Sandals with Velcro Strap,699,Polyurethane,Black,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0013BluE,Boys Printed Slippers With Back Strap,299,EVA,Blue,MAX,15,Footwears,Kids,1 pair of shoes,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0014BlacK,Boys Mickey Mouse Print Slip-On Canvas Shoes,449,Polyurethane,Black,MAX,15,Footwears,Kids,1 pair of sandals,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Fkids0015WhitE,Boys Colourblocked Velcro Strap Canvas Shoes,799,Polyurethane,White,MAX,15,Footwears,Kids,1 pair of shoes,"Wipe with a clean, dry cloth to remove dust.",2,Nil,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037","Vijay Towers, Major Saravanan Rd, opp. St. Johns Vestry School, Tiruchirappalli, Tamil Nadu 620001",India
Mcasuals0001BluE,Sash Vogue Men Floral Printed Full Sleeves Regular Fit Smart Casual Shirt,999,Cotton,Blue,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0002WhitE,Sash Vogue Men Striped Roll-Up Sleeves Slim-Fit Casual Shirt,1039,Cotton,White,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0003MultiColoR,Sash Vogue Men Ethnic Striped Full Sleeves Casual Shirt,1099,Cotton,Multicolor,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0004BrowN,Sash Vogue Graphic Printed Slim Fit Casual Shirt,1039,Cotton,Brown,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0005MultiColoR,Sash Vogue Men Striped Print Casual Shirt,999,Cotton,Multicolor,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0006BluE,Sash Vogue Men Solid Slim Fit Denim Shirt,999,Cotton,Blue,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0007ReD,Sash Vogue Men Checked Full Sleeves Slim Fit Casual Shirt,1099,Viscose,Red,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
Mcasuals0008GreeN,Sash Vogue Men Solid Mandarin Collar Smart Casual Shirt,1045,Cotton,Green,Allen Solly,20,Men,Casuals,1 Shirt,Machine Wash,1,No,"Allen Solly Madura Fashion & Lifestyle Plot no.5B, Regent Gateway Doddanakundi Village, KIADB Industrial Area ITPL Road, Bangalore 560 048","BEAR HOUSE CLOTHING PVT LTD. 540, Nanjappa Ready Layout, 8th Block Koramangala, BANGALORE-560095",India
